Lap	RaceNumber	Time	Gap
19	23	1'34.606	1'04.049

20	99	1'31.872
20 	93	1'31.903	0.453
20	26	1'31.974	2.949
20	46	1'32.213	16.216
20	44	1'32.611	20.354
20	4	1'32.631	20.540
20	38	1'32.569	20.922
20	41	1'32.801	22.421
20	9	1'33.207	27.839
20	35	1'32.350	29.295
20	51	1'33.574	32.411
20	25	1'32.719	32.812
20	68	1'33.648	34.674
20	19	1'33.657	39.498
20	6	1'33.495	39.689
20	69	1'33.595	40.025
20	76	1'33.604	40.929
20	8	1'33.450	41.326
20	45	1'33.143	43.045
20	43	1'33.866	44.488
20	24	1'33.879	47.920
20	50	1'34.686	48.373
20	63	1'34.691	50.474
20	13	1'35.166	54.764
20	23	1'34.790	1'06.967

21	99	1'32.035
21	93	1'31.893	0.311
21	26	1'31.805	2.719
21	46	1'32.155	16.336
21	44	1'32.364	20.683
21	4	1'32.684	21.189
21	38	1'32.719	21.606
21	41	1'32.962	23.348
21	9	1'33.136	28.940
21	35	1'32.353	29.613
21	51	1'33.472	33.848
21	25	1'33.116	33.893
21	68	1'33.653	36.292
21	19	1'33.649	41.112
21	6	1'33.651	41.305
21	69	1'33.665	41.655
21	76	1'33.558	42.452
21	8	1'33.622	42.913
21	45	1'32.942	43.952
21	43	1'34.310	46.763
21	24	1'33.561	49.446
21	50	1'34.304	50.642
21	63	1'34.460	52.899
21	13	1'35.166	57.895
21	23	1'40.606	1'15.538

22	99	1'31.958
22	93	1'31.972	0.325
22	26	1'31.809	2.570
22	46	1'32.238	16.616
22	44	1'32.538	21.263
22	4	1'32.635	21.866
22	38	1'32.626	22.274
22	41	1'33.215	24.605
22	9	1'33.142	30.124
22	35	1'32.713	30.368
22	25	1'32.911	34.846
22	51	1'33.590	35.480
22	68	1'33.862	38.196
22	19	1'33.663	42.817
22	6	1'33.666	43.013
22	69	1'33.656	43.353
22	76	1'33.648	44.142
22	8	1'33.294	44.249
22	45	1'33.097	45.091
22	43	1'33.871	48.676
22	24	1'33.507	50.995
22	50	1'34.293	52.977
22	63	1'34.550	55.491
22	13	1'35.045	1'00.982

23	99	1'32.073
23	93	1'32.058	0.310
23 	26	1'31.841	2.338
23	46	1'32.311	16.854
23	44	1'32.655	21.845
23	4	1'32.538	22.331
23	38	1'32.482	22.683
23	41	1'33.220	25.752
23	35	1'33.083	31.378
23	9	1'33.630	31.681
23	25	1'32.591	35.364
23	51	1'33.357	36.764
23	68	1'33.716	39.839
23	19	1'33.706	44.450
23	6	1'33.646	44.586
23	69	1'33.808	45.088
23	8	1'33.519	45.695
23	76	1'34.258	46.327
23	45	1'33.386	46.404
23	43	1'34.047	50.650
23	24	1'33.435	52.357
23	63	1'34.680	58.098
23	50	1'42.188	1'03.092
23	13	1'35.420	1'04.329

24	99	1'31.831
24 	93	1'31.905	0.384
24	26	1'31.507	2.014
24	46	1'32.483	17.506
24	44	1'32.236	22.250
24	4	1'32.619	23.119
24	38	1'32.720	23.572
24	41	1'33.309	27.230
24	35	1'32.240	31.787
24	9	1'33.250	33.100
24	25	1'32.531	36.064
24	51	1'33.341	38.274
24	68	1'33.862	41.870
24	19	1'33.554	46.173
24	6	1'33.752	46.507
24	69	1'33.525	46.782
24	8	1'33.629	47.493
24	45	1'33.278	47.851
24	76	1'34.397	48.893
24	43	1'34.209	53.028
24	24	1'33.565	54.091
24	63	1'34.664	1'00.931
24	13	1'35.004	1'07.502

25	99	1'31.865
25	93	1'31.781	0.300
25	26	1'31.610	1.759
25	46	1'32.288	17.929
25	44	1'32.280	22.665
25	4	1'33.192	24.446
25	38	1'32.972	24.679
25	41	1'32.968	28.333
25	35	1'32.895	32.817
25	9	1'33.186	34.421
25	25	1'32.632	36.831
25	51	1'33.562	39.971
25	68	1'33.744	43.749
25	19	1'33.629	47.937
25	6	1'33.533	48.175
25	69	1'33.694	48.611
25	8	1'33.424	49.052
25	45	1'33.546	49.532
25	76	1'34.529	51.557
25	43	1'34.108	55.271
25	24	1'33.585	55.811
